"date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
2020-08-07,"infections",NA,"estimate",11.6755270787908,11.7449325665941,1.50860391540095,9.42392199208153,10.6796604398285,11.260637645652,12.033951330975,12.7019486906175,14.3799204020004
2020-08-08,"infections",NA,"estimate",11.9305708643943,12.0325632023624,1.52043704536009,9.7165901477822,10.9498182867598,11.5606664108349,12.3092061708176,12.9770628956272,14.635776429957
2020-08-09,"infections",NA,"estimate",12.2381089175762,12.3803626319262,1.56411746165045,10.0747293716271,11.3212320741589,11.8639345201101,12.6757063262837,13.3647806828383,15.0907792869737
2020-08-10,"infections",NA,"estimate",12.6369885431628,12.7798193509675,1.63675333132437,10.3217167099586,11.6632285582704,12.2355291665832,13.0742905116607,13.8319706224502,15.6761297353466
2020-08-11,"infections",NA,"estimate",13.0544827337853,13.2211366164211,1.73082086073437,10.6095446896427,12.0180936266473,12.6507130227475,13.50516836717,14.3060788953521,16.2511670070251
2020-08-12,"infections",NA,"estimate",13.4984966944375,13.6936982721952,1.83596673599086,11.0237302337132,12.4051175001764,13.0907670157074,14.006594836205,14.8326454110839,16.9619502611576
2020-08-13,"infections",NA,"estimate",14.0000686595364,14.1868272406476,1.94102922694519,11.4136792710559,12.7899948876328,13.5002711312327,14.5035395150935,15.3501967185344,17.5130163760317
2020-08-14,"infections",NA,"estimate",14.5003629595022,14.6907741791467,2.03595069340215,11.7451802876419,13.2252356153694,13.9745050686159,15.0004224877468,15.9315018601272,18.278415654734
2020-08-15,"infections",NA,"estimate",14.9778638613125,15.1978060117474,2.11357399841681,12.135047879153,13.7106379256724,14.4552962165158,15.5099543124171,16.4770548792985,18.8859924288019
2020-08-16,"infections",NA,"estimate",15.5109469862996,15.7032068460881,2.1709983103473,12.5126468212549,14.2066926903051,14.9861469475898,16.026731717131,16.964057148693,19.5518829057782
2020-08-17,"infections",NA,"estimate",16.0520436564096,16.2059967490583,2.21005003539424,12.9792297042093,14.6541253128817,15.4853363389644,16.5761103335231,17.5444194664875,20.0711312648953
2020-08-18,"infections",NA,"estimate",16.5924335868311,16.7092352311691,2.23674277616055,13.4047315020066,15.1444718983112,15.975075539461,17.0868974899053,18.0199496894195,20.6889020135304
2020-08-19,"infections",NA,"estimate",17.0606152111489,17.2198826081873,2.259883181424,13.8942892382703,15.6109471165904,16.5209481869578,17.6365539507013,18.5789544816458,21.2875231153445
2020-08-20,"infections",NA,"estimate",17.6184247632941,17.7482983584769,2.28902865928518,14.3745610959875,16.1234869302557,17.0608644865007,18.1739581004087,19.101945995887,21.8344134989147
2020-08-21,"infections",NA,"estimate",18.1747609976184,18.3075258135614,2.33215099838385,14.7487294865296,16.6697490528067,17.5526820668904,18.740933638158,19.7217886215959,22.4837525883741
2020-08-22,"infections",NA,"estimate",18.8027441862055,18.9125306995285,2.39372032705691,15.3034005973657,17.1852867737832,18.1910115633697,19.3864614149793,20.3800471910623,23.1345875780625
2020-08-23,"infections",NA,"estimate",19.459555135439,19.5795291187851,2.47401117454576,15.8392139100083,17.8078427032067,18.8697051864845,20.0270289430728,21.0957941365714,23.8586806740592
2020-08-24,"infections",NA,"estimate",20.2486348801271,20.3254756614407,2.56987611126118,16.3684360098239,18.5385120768756,19.5620019076501,20.807218742834,21.8938149784254,24.6389757969176
