"","date","hosp_census_5_current","hosp_census_95_current","hosp_census_median_current","vent_census_5_current","vent_census_95_current","vent_census_median_current","hosp_admits_5_current","hosp_admits_95_current","hosp_admits_median_current","vent_admits_5_current","vent_admits_95_current","vent_admits_median_current","hosp_census_5_reduction_10","hosp_census_95_reduction_10","hosp_census_median_reduction_10","vent_census_5_reduction_10","vent_census_95_reduction_10","vent_census_median_reduction_10","hosp_admits_5_reduction_10","hosp_admits_95_reduction_10","hosp_admits_median_reduction_10","vent_admits_5_reduction_10","vent_admits_95_reduction_10","vent_admits_median_reduction_10","hosp_census_5_increase_10","hosp_census_95_increase_10","hosp_census_median_increase_10","vent_census_5_increase_10","vent_census_95_increase_10","vent_census_median_increase_10","hosp_admits_5_increase_10","hosp_admits_95_increase_10","hosp_admits_median_increase_10","vent_admits_5_increase_10","vent_admits_95_increase_10","vent_admits_median_increase_10","hosp_census_observed","vent_census_observed","hosp_admits_observed","vent_admits_observed"
"165",2020-07-23,0.892365229461845,7.34823963373645,3.38231277002907,0,2.39229786500136,0.624519789362221,0,3,1,0,1,0,0.87844865441685,7.30617937849004,3.38268872690832,0,2.40024614182044,0.6247707590176,0,3,1,0,1,0,0.890915095187792,7.32357254802489,3.37317089005327,0,2.40266713215604,0.645471584471988,0,3,1,0,1,0,11,NA,0,NA
"166",2020-07-24,1.03526101971923,7.93491238681601,3.76254292461067,0,2.56492216605417,0.706763094117122,0,3,1,0,1,0,1.02259074137163,8.04886818613982,3.75348098276672,0,2.56066306174512,0.707325117972098,0,3,1,0,1,0,1.05321689768353,8.05789805994121,3.7585438833951,0,2.60978118603777,0.721891497082187,0,3,1,0,1,0,10,NA,0,NA
"167",2020-07-25,1.18294268789548,8.68212123163998,4.20080093117294,0,2.75816390546183,0.782965000489629,0,3,1,0,1,0,1.19725621715767,8.70432181305368,4.18852007230424,0,2.76876233113647,0.780658890367111,0,3,1,0,1,0,1.24136863955846,8.72671489767724,4.18895004832152,0,2.75666135892919,0.79123099157676,0,3,1,0,1,0,11,NA,1,NA
"168",2020-07-26,1.37949283859466,9.3584344590812,4.65330376466714,0,2.91540822929737,0.865832279180785,0,3,1,0,1,0,1.41358033361551,9.4221829676836,4.61550066948678,0,2.95034589992051,0.872344328943247,0,3,1,0,1,0,1.4024004601849,9.43334225469735,4.63267247126333,0,2.95045972309893,0.877212956488953,0,3,1,0,1,0,12,NA,1,NA
"169",2020-07-27,1.59141434539711,10.0735677960017,5.11128566392758,0,3.10719479854716,0.952964228275631,0,3,1,0,1,0,1.58022966549667,10.1128488528381,5.09310088557642,0,3.12877845436344,0.963298448909939,0,3,1,0,1,0,1.61785570137216,10.1800683586877,5.10197103940016,0,3.15583148688442,0.957010220359525,0,3,1,0,1,0,12,NA,0,NA
"170",2020-07-28,1.75319841408041,10.9240178193776,5.58320979127198,0,3.32319666438269,1.0042302339756,0,3,1,0,1,0,1.74637177696303,10.9383427657731,5.53856520932244,0,3.30613766756472,1.0011971607666,0,4,1,0,1,0,1.78291624652965,10.9466037676661,5.59785435332537,0,3.32989691735457,1.0109860307213,0,3,1,0,1,0,11,NA,1,NA
"171",2020-07-29,1.95221251248258,11.7469319927328,6.05046559803795,0,3.5122216859539,1.13260447411703,0,4,1,0,1,0,2.00109603832346,11.7065485501117,6.03546700505347,0,3.52051995673782,1.12068990779638,0,4,1,0,1,0,1.96558598402478,11.7263115956869,6.05623760460507,0,3.51237782724409,1.12952308171857,0,4,1,0,1,0,8,NA,0,NA
"172",2020-07-30,2.19951218428232,12.5770237862874,6.52216259334786,0,3.70481396111626,1.25449759900446,0,4,1,0,1,0,2.19597363931959,12.531859978394,6.51676524881699,0,3.69463389148372,1.24883380610399,0,4,1,0,1,0,2.18606447874241,12.5849759345587,6.50828885422087,0,3.71090349662892,1.23855763011213,0,4,1,0,1,0,8,NA,2,NA
"173",2020-07-31,2.41459162677943,13.6587704471361,6.98710305345563,0,3.90326484592268,1.36333744683502,0,4,1,0,1,0,2.43730758753922,13.5774991861989,6.99867049335154,0,3.8912870003728,1.36395936647508,0,4,1,0,1,0,2.42463427393834,13.5494708556273,6.98419833628911,0,3.87773916499067,1.36409343130094,0,4,1,0,1,0,7,NA,3,NA
"174",2020-08-01,2.65717734667133,14.7719528148165,7.42529926845035,0,4.11529865342357,1.49182946071837,0,4,1,0,1,0,2.63531803204399,14.6761001656007,7.43146316870572,0,4.09163053998004,1.47352510235029,0,4,1,0,1,0,2.60728243403275,14.755836268688,7.46050189764113,0,4.1136787029431,1.47581904853056,0,4,1,0,1,0,7,NA,0,NA
