"","date","observed_cumulative_cases","observed_active_cases","observed_cumulative_deaths","observed_new_cases","observed_daily_average_cases","observed_new_episodes","observed_new_cases_community_outbreak","observed_new_cases_institution_outbreak","observed_new_cases_sporadic","observed_new_ICU_p_acute_care","observed_census_ICU","observed_census_ICU_p_acute_care","observed_census_acute_care","observed_new_deaths","cumulative_hosp","observed_new_community_cases","num_non_ltch_tests","non_ltch_pct_positivity","num_ltch_tests","ltch_pct_positivity","observed_pct_positivity","pct_positivity_7_day","adjusted_new_episodes","adjusted_active_cases","adjusted_episode_cases"
"280",2020-12-05,8871,550,374,46,41.6,35,3,2,29,1,1,31,30,0,553,32,2277,0.0184500002861023,209,0,1.68988940673592,1.54426069175673,34.7706601779905,563.245721809211,35
"281",2020-12-06,8910,544,375,33,43.1,39,0,7,30,1,2,31,29,1,554,30,1397,0.0157500004768372,20,0,1.55276998349623,1.42070035300659,37.6638699922589,556.038175859629,39
"282",2020-12-07,8964,547,376,23,39.7,54,0,4,45,2,1,30,29,1,556,45,1068,0.0168499994277954,25,0.04,1.73795053878184,1.3583859681456,50.1145629001628,560.54813125309,54
"283",2020-12-08,9011,551,376,57,43,47,1,1,44,0,1,27,26,0,556,45,2367,0.01942999958992,69,0,1.88796424586784,1.4228441659193,47.2107680042224,565.825181562812,47
"284",2020-12-09,9064,562,376,36,41.1,53,2,3,46,1,3,24,21,0,557,48,2911,0.00962000012397766,167,0.00598999977111816,0.942305078709412,1.41173220109555,51.644595732228,569.547141698169,53
"285",2020-12-10,9109,561,376,60,44.3,45,2,0,43,1,3,23,20,0,558,45,3091,0.0139100003242493,252,0.00397000014781952,1.3160709255012,1.46209938100158,45.8440078096668,571.52196402718,45
"286",2020-12-11,9148,544,376,48,43.3,39,6,2,30,1,2,23,21,0,559,36,3047,0.0118099999427795,32,0,1.16872587936503,1.47081086549392,38.5996113129955,553.060793174155,39
"287",2020-12-12,9181,533,377,59,45.1,33,2,5,26,0,2,20,18,1,559,28,2616,0.0156700003147125,24,0,1.55275457663969,1.45122017548018,33.619605844876,544.794639832818,33
"288",2020-12-13,9220,530,378,30,44.7,39,5,2,32,0,2,19,17,1,559,37,1502,0.0119799995422363,47,0,1.16165005244925,1.39534589961632,39.6125361112158,538.774165917416,39
"289",2020-12-14,9263,526,378,16,43.7,43,4,4,35,2,2,20,18,0,561,39,917,0.0174500000476837,20,0,1.70775347318313,1.39103203310222,43.9491709565446,538.801639054935,43
