,date,hosp_census_5_current,hosp_census_95_current,hosp_census_median_current,vent_census_5_current,vent_census_95_current,vent_census_median_current,hosp_admits_5_current,hosp_admits_95_current,hosp_admits_median_current,vent_admits_5_current,vent_admits_95_current,vent_admits_median_current,hosp_census_5_reduction_10,hosp_census_95_reduction_10,hosp_census_median_reduction_10,vent_census_5_reduction_10,vent_census_95_reduction_10,vent_census_median_reduction_10,hosp_admits_5_reduction_10,hosp_admits_95_reduction_10,hosp_admits_median_reduction_10,vent_admits_5_reduction_10,vent_admits_95_reduction_10,vent_admits_median_reduction_10,hosp_census_5_increase_10,hosp_census_95_increase_10,hosp_census_median_increase_10,vent_census_5_increase_10,vent_census_95_increase_10,vent_census_median_increase_10,hosp_admits_5_increase_10,hosp_admits_95_increase_10,hosp_admits_median_increase_10,vent_admits_5_increase_10,vent_admits_95_increase_10,vent_admits_median_increase_10
382,2021-07-24,1.227736955101734,26.655380326561268,4.444007873996408,0.026163368344473997,7.355551086650635,1.1986176806039361,0.0,3.0,0.0,0.0,1.0,0.0,0.011376103518694492,6.009819603232542,0.8669311082060824,5.689020341121926e-06,1.4279315902528442,0.14483386324856587,0.0,1.0,0.0,0.0,0.0,0.0,5.514597340885646,190.5214128578244,15.64593805458215,0.47296813381619257,48.014695479179956,3.8098105426088513,0.0,23.0,2.0,0.0,6.0,0.0
383,2021-07-25,1.2071994612621653,26.659296641197624,4.401500206509315,0.02422622595326378,7.315732174603319,1.182277203630249,0.0,3.0,0.0,0.0,1.0,0.0,0.01011135451452596,5.964972172785355,0.8459204292215254,4.811156449078099e-06,1.4270235999373175,0.1370182289855943,0.0,1.0,0.0,0.0,0.0,0.0,5.455273013953093,192.21749814265107,15.54566364799088,0.47079788920862464,48.463486235465616,3.779749557386735,0.0,23.0,2.0,0.0,6.0,0.0
384,2021-07-26,1.175917742805952,26.78514744087273,4.34402506811826,0.024097602777054774,7.3034987722479565,1.1599185873857922,0.0,3.0,0.0,0.0,1.0,0.0,0.009109779888972134,5.830061675684434,0.8238634188692068,4.167515714284429e-06,1.406475848215218,0.13111107262110883,0.0,1.0,0.0,0.0,0.0,0.0,5.445602675459601,194.88172530084788,15.43183049872464,0.47026425427906204,48.90524457558139,3.8007105141632187,0.0,23.0,2.0,0.0,6.0,0.0
385,2021-07-27,1.1281524610493472,26.742456596494538,4.2760271347850844,0.02292702145933411,7.282684527985124,1.14653989290269,0.0,3.0,0.0,0.0,1.0,0.0,0.008068538577908213,5.760358830094242,0.8016065599762742,3.5360433608413844e-06,1.3764924155423872,0.12478567948892831,0.0,1.0,0.0,0.0,0.0,0.0,5.369325895317016,197.27436417853355,15.330210829344999,0.4629018513652239,49.65507336238219,3.7533812394339154,0.0,23.0,2.0,0.0,6.0,0.0
386,2021-07-28,1.106346305894558,26.659128725036773,4.2345998707008565,0.02139999876746764,7.269216262407514,1.128470205697403,0.0,3.0,0.0,0.0,1.0,0.0,0.007250642849795585,5.7092531490838905,0.7760087767257504,2.973304912203988e-06,1.3471494030270308,0.11781047502737187,0.0,1.0,0.0,0.0,0.0,0.0,5.306955843949864,199.0567597317173,15.333367676108029,0.4550360272089542,50.2922914309717,3.733926179106007,0.0,24.0,2.0,0.0,6.0,0.0
387,2021-07-29,1.1101976027951719,26.535083934416164,4.158506162716524,0.02055718400625733,7.234588644643712,1.1156700355257976,0.0,3.0,0.0,0.0,1.0,0.0,0.006436598638252717,5.605350466030079,0.7548158739954312,2.5506899233418654e-06,1.3132563294083766,0.11212959295690911,0.0,1.0,0.0,0.0,0.0,0.0,5.204404564249499,200.9286992419284,15.270152072854058,0.45178272562140037,50.75902948998735,3.714396921650816,0.0,24.0,2.0,0.0,6.0,0.0
388,2021-07-30,1.08403193438516,26.55308249776132,4.106999167295579,0.019346332227920343,7.183490505441154,1.0972701892931012,0.0,3.0,0.0,0.0,1.0,0.0,0.005751384707403813,5.58339447889229,0.7395736821706408,2.136366636740758e-06,1.2980537019026386,0.10634661825846292,0.0,1.0,0.0,0.0,0.0,0.0,5.170583061102619,202.74186974356155,15.16531881923299,0.440397702532757,51.3966331396784,3.7098331413462007,0.0,24.0,2.0,0.0,6.0,0.0
389,2021-07-31,1.0558081341068297,26.531016601612247,4.041784572778026,0.018130991266559593,7.138533643244775,1.089302893499081,0.0,3.0,0.0,0.0,1.0,0.0,0.005219992211797957,5.4992449762035,0.7084439778421279,1.7604521463100168e-06,1.272014175279935,0.10029905518750701,0.0,1.0,0.0,0.0,0.0,0.0,5.067315526002502,204.7435535054988,14.984504525676801,0.4317095386315589,51.9023571519115,3.7154335506167233,0.0,24.0,2.0,0.0,6.0,0.0
390,2021-08-01,1.0373030528400993,26.414090956453634,4.008081337765171,0.017241645336705375,7.148565617608267,1.071405067587938,0.0,3.0,0.0,0.0,1.0,0.0,0.004687052188238742,5.392353175895554,0.6839869527887623,1.5003071646882102e-06,1.262180580789428,0.0954752046316049,0.0,1.0,0.0,0.0,0.0,0.0,5.044766477667814,207.07441392279162,14.929754979964796,0.42167484701536473,52.22056434425184,3.6609920209932256,0.0,25.0,2.0,0.0,6.0,0.0
391,2021-08-02,1.002507402023109,26.315642141850688,3.9476301838211234,0.01631804327217062,7.078225959979464,1.06598516476511,0.0,3.0,0.0,0.0,1.0,0.0,0.004163300706113549,5.369067109530121,0.6640744581016653,1.260094321250514e-06,1.229741141328498,0.08980024505613754,0.0,1.0,0.0,0.0,0.0,0.0,5.011985491026929,209.5801904123538,14.857137475755014,0.43223275548765056,52.960955829614306,3.6512736455173083,0.0,25.0,2.0,0.0,6.0,0.0
